@@малый + S&t:move;semf='r:qual t:degr:min';Ex:Малый мороз
@@мягкий + вагон;semf2='r:rel t:species der:shift dt:physq';
@@мягкий + знак;semf2='r:rel t:species der:shift dt:physq';
@@мягкий + вода;semf2='r:qual t:physq der:shift dt:physq';
@@мягкий + мебель;semf2='r:rel t:species der:shift dt:physq';
@@мягкий + игрушка;semf2='r:rel t:species der:shift dt:physq';
@@мягкий + обложка;semf2='r:rel t:species der:shift dt:physq';
@@мягкий + согласный;semf2='r:rel t:species der:shift dt:physq';
@@мягкий + посадка;semf2='r:qual der:shift dt:physq';
в/по/за + @@мягкий + место;semf='r:qual t:physq';
@@мягкий&pl + ткань&pl;semf2='r:rel t:species der:shift dt:physq';
в + @@мягкий + форма;semf2='r:qual der:shift';
@@мягкий + t:hum/t:hum:kin;semf2='r:qual t:humq';
@@мягкий + pt:partb;semf='r:qual t:physq';
@@мягкий + цвет/тон/свет;semf2='r:qual t:asp:light der:shift dt:physq';
@@мягкий + t:color;semf2='r:qual t:asp:color der:shift dt:physq';
@@мягкий + голос/бас/баритон;semf2='r:qual t:asp:sound der:shift dt:physq';
@@мягкий + складка/сборка;semf='r:qual t:physq';
@@мягкий + t:text;semf2='r:qual der:shift';
@@мягкий + r:concr;semf='r:qual t:physq';
@@мягкий + r:abstr;semf2='r:qual der:shift';
@@мягко + выражаться;semf2='der:a dt:physq';
@@мягко + 'говоря';semf2='der:a dt:physq';
@@мягко + 'сказано';semf2='der:a dt:physq';
@@мягко + стелить;semf2='der:a dt:physq';
@@мудрый + t:hum/t:hum:etn/t:hum:kin/t:animal;semf='r:qual t:humq ev:posit';Ex:М. старец
@@мудрый + S;semf2='r:qual ev:posit der:shift dt:humq';Ex:Мудрая политика
@@огненный + вода;semf='r:rel der:s der:shift dt:stuff';Ex:О. шар
@@огненный + t:light;semf='r:rel der:s dt:stuff';Ex:О. шар
@@огненный + шар/хвост/столб/язык/ангел/шоу;semf='r:rel der:s dt:stuff';Ex:О. шар
@@огненный + t:color/pt:part/t:animal;semf2='r:rel t:appearance t:physq:color der:s dt:stuff';Ex:Огненные лепестки мака
@@огненный + t:hum;semf2='r:qual t:humq ev der:shift dt:stuff';Ex: О. человек
@@огненный + r:abstr;semf2='r:qual ev der:shift dt:humq';Ex: Огненная речь
@@огневой + t:constr/t:tool:device/t:temper;semf='r:rel der:s dt:stuff';Ex:О. цех
@@огневой + хвост;semf='r:rel der:s dt:stuff';Ex:О. цех
@@огневой + t:put/t:space/t:impact;semf='r:rel der:s dt:abstr';Ex:Огневая позиция
@@огневой + поддержка;semf='r:rel der:s dt:abstr';Ex:Огневая позиция
@@огневой + t:color/t:perc;semf2='r:rel t:appearance der:s dt:stuff';Ex:О. румянец
@@огневой + t:hum;semf2='r:rel t:humq ev der:shift dt:stuff';Ex: О. человек
t:hum + @@огневой;semf2='r:rel t:humq ev der:shift dt:stuff';Ex: О. человек
@@огневой + S;semf2='r:rel ev der:shift dt:humq';Ex: О. характер
@@ограниченный + неодуш;semf='r:phys';
@@ограниченный + одуш;semf2='r:humq der:shift';
@@ограниченный + абстр;semf2='r:qual der:shift';
@@окольный + r:concr&t:space&top:stripe;semf='r:rel t:dir t:physq:form';Ex:О.дорога
@@окольный + r:concr;semf2='r:rel t:dist:min';Ex:Окольные дома
@@окольный + r:abstr;semf2='r:rel t:dir t:physq:form der:shift';Ex:О.высказывания
@@опытный + t:hum/t:hum:kin/t:hum:etn;semf='r:qual t:humq ev:posit d:habit der:s dt:perc dt:ment dt:abstr';Ex:О. врач
@@опытный + взгляд/глаз;semf2='r:qual ev:posit der:shift dt:humq';Ex:О. взгляд
@@опытный + pt:set&sc:hum;semf2='r:qual ev:posit der:shift dt:humq';Ex:О. армия
@@опытный&brev + в;semf='r:qual t:humq ev:posit d:habit der:s dt:perc dt:ment dt:abstr';Ex:О. врач
@@опытный&brev;semf='r:qual t:humq ev:posit d:habit der:s dt:perc dt:ment dt:abstr' semf2='r:qual ev:posit der:shift dt:humq';Ex:О. врач Ex:О. взгляд
@@опытный + t:animal/t:plant/t:space/t:constr;semf2='r:rel der:s dt:abstr';Ex:О. участок
@@опытный + r:abstr;semf2='r:rel der:s dt:abstr';Ex:О. участок
@@опытный + образец/экземляр;semf2='r:rel der:s dt:abstr';Ex:О. участок
@@осторожный + t:hum/t:hum:kin/t:hum:etn/t:animal;semf='r:qual t:humq';Ex:О. человек
@@осторожный + r:abstr;semf2='r:qual der:shift dt:humq';Ex:Осторожное обращение
@@пьяный + t:hum/t:hum:kin/t:hum:etn;semf='r:qual t:humst';
@@пьяный + pt:set&sc:hum;semf2='r:qual der:shift der:meton dt:humst';
@@пьяный + r:abstr;semf2='r:qual der:shift der:meton dt:humst';
@@пьяный + t:partb;semf2='r:qual der:shift der:meton dt:humst';
@@пьяный + слеза;semf2='r:qual der:shift der:meton dt:humst';
@@пьяный + вишня;semf2='r:qual der:shift der:meton dt:humst';
@@пьяный + t:food;semf2='r:qual der:shift der:meton dt:humst';
с + '@@пьяных' + 'глаз';semf2='r:qual der:shift der:meton dt:humst';
под + '@@пьяную' + 'руку';semf2='r:qual der:shift der:meton dt:humst';
по + '@@пьяной' + 'лавочке';semf2='r:qual der:shift der:meton dt:humst';
по + '@@пьяному' + 'делу';semf2='r:qual der:shift der:meton dt:humst';
@@плоский + r:concr;semf='r:qual t:physq:form';Ex:Плоская поверхность
@@плоский + t:speech;semf2='r:qual ev:neg der:shift dt:physq:form';Ex:Плоская шутка
@@плоский + r:abstr;semf2='r:qual ev:neg der:shift dt:physq:form';Ex:Плоская шутка
@@прямой + t:hum/t:hum:kin/t:hum:etn;semf2='r:qual t:humq ev der:shift dt:physq:form';Ex:Прямой человек
@@прямой + характер/нрав/взгляд;semf2='r:qual der:shift dt:humq';Ex:Прямой взгляд
@@прямой + сообщение;semf2='r:rel';Ex:Прямое сообщение
@@прямой + путь/дорога;semf='r:qual t:physq:form' semf2='r:rel';Ex:Прямая палка Ex:Прямое сообщение
@@прямой + r:concr;semf='r:qual t:physq:form';Ex:Прямая палка
@@прямой + пропорциональность/зависимость;semf2='r:rel t:species';Ex:Прямая пропорциональность
@@прямой + S&der:a;semf2='r:qual t:degr:max';Ex:Прямая противоложность
@@прямой + r:abstr;semf2='r:qual';
@@пухлый + S;semf2='r:qual t:physq:form t:size:max';Ex:П. том
@@пустынный + @@общежитие;semf2='r:rel der:s dt:org';
@@пустынный&brev;semf2='r:qual der:shift';
@@пустынный&comp;semf2='r:qual der:shift';
@@пустынный + вид/подвид/вариант/оазис/зона/почва/дюна/бархан/ветер/напев/грусть/Палестина;semf='r:rel der:s dt:space';
@@пустынный + t:plant/t:animal/t:hum/t:hum:supernat/t:temper;semf='r:rel der:s dt:space';
@@пустынный + мир/район/ландшафт/степь/равнина/ущелье/пейзаж;semf='r:rel der:s dt:space' semf2='r:qual der:shift';
@@пустынный + t:space&hi:class;semf='r:rel der:s dt:space' semf2='r:qual der:shift';
@@родной + язык;semf2='r:qual der:shift der:metaph';
@@родной + речь;semf2='r:qual der:shift der:metaph';
@@родной + слово;semf2='r:qual der:shift der:metaph';
@@родной + S&anim;semf='r:qual t:humq';
@@родной + душа;semf='r:qual t:humq';
@@родной + S&inan;semf2='r:qual der:shift der:metaph';
до + @@седой + волос;semf='r:qual t:physq:color';Ex:Седая борода
@@седой + год;semf2='r:qual der:shift dt:physq:color';
@@седой + время/древность/старина/история/быль/век;semf2='r:rel t:time';Ex:Седая старина
@@седой + [0..1]t:hum/t:hum:etn/t:hum:kin/t:animal;semf2='r:qual t:time:age der:shift dt:physq:color';Ex:Зеленые помидоры
@@серебристый + [0..2]t:sound/t:tool:mus;semf2='r:qual t:sound';Ex:С. голосок
t:plant + @@серебристый;semf2='r:rel t:species der:shift dt:physq:color';Ex:Ландыш серебристый
@@серый + вещество;semf2='r:rel t:species der:shift dt:physq:color';Ex:Серый гусь
@@серый + кардинал;semf2='r:rel der:shift dt:physq:color';
@@серый + цапля/крыса/журавль/кит/полевка;semf2='r:rel t:species der:shift dt:physq:color';Ex:Серый гусь
